"DrugBankIDs" "DiseaseID"
"DB00179" "MESH:D011471"
"DB00179" "MESH:D012878"
"DB00179" "MESH:D001745"
"DB00180" "MESH:D004802"
"DB00180" "MESH:D007249"
"DB00180" "MESH:D001249"
"DB00181" "MESH:D010146"
"DB00181" "MESH:D006556"
"DB00181" "MESH:D009069"
"DB00181" "MESH:D000755"
"DB00181" "MESH:D009759"
"DB00181" "MESH:D002545"
"DB00181" "MESH:D019969"
"DB00181" "MESH:D007022"
"DB00181" "MESH:D004421"
"DB00181" "MESH:D013610"
"DB00181" "MESH:D003072"
"DB00181" "MESH:D012640"
"DB00181" "MESH:D001927"
"DB00181" "MESH:D020820"
"DB00181" "MESH:D020258"
"DB00181" "MESH:D009207"
"DB00181" "MESH:D017449"
"DB00181" "MESH:D010409"
"DB00181" "MESH:D013375"
"DB00181" "MESH:D013035"
"DB00181" "MESH:D010291"
"DB00181" "MESH:D053201"
"DB00181" "MESH:D014277"
"DB00181" "MESH:D010554"
"DB00181" "MESH:D006948"
"DB00181" "MESH:D001416"
"DB00181" "MESH:D000437"
"DB00181" "MESH:D007249"
"DB00181" "MESH:D013345"
"DB00181" "MESH:D002375"
"DB00181" "MESH:D019970"
"DB00181" "MESH:D004409"
"DB00181" "MESH:D009461"
"DB00181" "MESH:D001919"
"DB00181" "MESH:D013119"
"DB00181" "MESH:D006930"
"DB00181" "MESH:D009103"
"DB00181" "MESH:D013226"
"DB00182" "MESH:D004831"
"DB00182" "MESH:D004827"
"DB00182" "MESH:D008569"
"DB00182" "MESH:D012640"
"DB00182" "MESH:D001919"
"DB00182" "MESH:D000647"
"DB00182" "MESH:D011230"
"DB00182" "MESH:D009369"
"DB00182" "MESH:D002385"
"DB00182" "MESH:D012559"
"DB00182" "MESH:D010146"
"DB00182" "MESH:D001289"
"DB00182" "MESH:D006948"
"DB00182" "MESH:D018476"
"DB00182" "MESH:D007022"
"DB00182" "MESH:D005221"
"DB00182" "MESH:D001714"
"DB00183" "MESH:D005767"
"DB00184" "MESH:D015430"
"DB00184" "MESH:D004409"
"DB00184" "MESH:D010302"
"DB00184" "MESH:D012640"
"DB00184" "MESH:D005334"
"DB00184" "MESH:D008569"
"DB00184" "MESH:D007249"
"DB00184" "MESH:D013375"
"DB00184" "MESH:D014029"
"DB00184" "MESH:D009069"
"DB00184" "MESH:D019969"
"DB00184" "MESH:D001289"
"DB00184" "MESH:D003865"
"DB00184" "MESH:D003092"
"DB00184" "MESH:D011605"
"DB00184" "MESH:D001943"
"DB00184" "MESH:D000544"
"DB00184" "MESH:D003866"
"DB00184" "MESH:D019446"
"DB00184" "MESH:D002375"
"DB00184" "MESH:D003072"
"DB00184" "MESH:D003093"
"DB00184" "MESH:D000647"
"DB00184" "MESH:D003693"
"DB00184" "MESH:D009205"
"DB00184" "MESH:D013927"
"DB00184" "MESH:D010146"
"DB00184" "MESH:D006973"
"DB00184" "MESH:D019636"
"DB00184" "MESH:D009422"
"DB00184" "MESH:D005879"
"DB00184" "MESH:D001008"
"DB00184" "MESH:D001930"
"DB00185" "MESH:D000647"
"DB00186" "MESH:D010146"
"DB00186" "MESH:D007319"
"DB00186" "MESH:D013610"
"DB00186" "MESH:D003865"
"DB00186" "MESH:D009207"
"DB00186" "MESH:D011595"
"DB00186" "MESH:D016584"
"DB00186" "MESH:D014839"
"DB00186" "MESH:D001008"
"DB00186" "MESH:D011041"
"DB00186" "MESH:D001714"
"DB00186" "MESH:D000437"
"DB00186" "MESH:D011618"
"DB00186" "MESH:D012640"
"DB00186" "MESH:D009069"
"DB00186" "MESH:D009325"
"DB00186" "MESH:D002637"
"DB00186" "MESH:D002389"
"DB00186" "MESH:D013375"
"DB00186" "MESH:D011605"
"DB00186" "MESH:D012559"
"DB00186" "MESH:D003693"
"DB00186" "MESH:D013226"
"DB00186" "MESH:D004421"
"DB00186" "MESH:D003866"
"DB00186" "MESH:D006973"
"DB00187" "MESH:D006323"
"DB00187" "MESH:D001145"
"DB00187" "MESH:D013617"
"DB00187" "MESH:D007022"
"DB00187" "MESH:D013610"
"DB00187" "MESH:D017202"
"DB00187" "MESH:D006973"
"DB00187" "MESH:D011183"
"DB00187" "MESH:D013375"
"DB00188" "MESH:D015464"
"DB00188" "MESH:D006258"
"DB00188" "MESH:D004938"
"DB00188" "MESH:D010190"
"DB00188" "MESH:D012516"
"DB00188" "MESH:D020522"
"DB00188" "MESH:D009101"
"DB00188" "MESH:D010051"
"DB00188" "MESH:D009447"
"DB00188" "MESH:D006528"
"DB00188" "MESH:D001749"
"DB00188" "MESH:D002289"
"DB00188" "MESH:D051437"
"DB00188" "MESH:D001943"
"DB00188" "MESH:D008223"
"DB00188" "MESH:D002294"
"DB00188" "MESH:D015470"
"DB00188" "MESH:D012208"
"DB00188" "MESH:D013163"
"DB00188" "MESH:D002295"
"DB00188" "MESH:D005909"
"DB00188" "MESH:D008527"
"DB00188" "MESH:D005910"
"DB00188" "MESH:D007938"
"DB00188" "MESH:D009374"
"DB00188" "MESH:D009369"
"DB00188" "MESH:D016393"
"DB00188" "MESH:D006934"
"DB00188" "MESH:D012871"
"DB00190" "MESH:D009325"
"DB00190" "MESH:D002375"
"DB00190" "MESH:D002389"
"DB00190" "MESH:D009207"
"DB00190" "MESH:D020734"
"DB00190" "MESH:D018476"
"DB00190" "MESH:D009127"
"DB00190" "MESH:D001927"
"DB00190" "MESH:D014839"
"DB00190" "MESH:D006973"
"DB00190" "MESH:D001145"
"DB00190" "MESH:D014202"
"DB00190" "MESH:D064420"
"DB00190" "MESH:D010302"
"DB00190" "MESH:D010300"
"DB00190" "MESH:D007022"
"DB00191" "MESH:D009765"
"DB00191" "MESH:D019970"
"DB00191" "MESH:D006973"
"DB00191" "MESH:D007333"
"DB00192" "MESH:D017180"
"DB00193" "MESH:D010149"
"DB00193" "MESH:D009437"
"DB00193" "MESH:D006930"
"DB00193" "MESH:D051474"
"DB00193" "MESH:D010146"
"DB00193" "MESH:D002294"
